Model_Names,RMSE_Train,RMSE_Test,R2_score_Train,R2_score_Test,best_params
XGBoost,0.6179555801950957,1.4770792469072613,0.999646817388633,0.9956328422936993,"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000}"
RF,1.3285904662128627,1.666458402774558,0.9875323684312541,0.9767257193554356,"{'max_depth': 8, 'max_features': 5, 'min_samples_split': 8, 'n_estimators': 500}"
KNN,2.083721621116934,2.4885575122934416,0.9706432936425291,0.9589643937172503,{'n_neighbors': 3}
Ridge,3.1165518698972012,2.9684067160002754,0.9013070750286243,0.9040096984856418,{'alpha': 0.005}
CART,2.465667434190453,2.981011719023594,0.9399152759412254,0.9482127035198111,"{'max_leaf_nodes': 9, 'min_samples_split': 56}"
Lasso,3.1536458885335987,3.0064951397112702,0.8990106485425178,0.9010270248421266,{'alpha': 0.005}
ENet,3.202257585355034,3.0592188432181247,0.8957655695063609,0.8992704786440411,{'alpha': 0.005}
