Model_Names,RMSE_Train,RMSE_Test,R2_score_Train,R2_score_Test
XGBoost,0.09216528311414914,0.5658356478795165,0.999908684043034,0.9963497166707628
RF,0.47848238764178924,1.4997619892230185,0.997512680543793,0.9741115680927326
KNN,1.6261412818892753,1.6491845367828417,0.9729710706540562,0.9701890194372107
CART,0.0,2.0056201877878914,1.0,0.9537144382842279
LR,3.0833402057138954,2.945588466950627,0.9013314037224366,0.9041261889212218
Ridge,3.1553790962502206,3.0167021578830013,0.8966811332917658,0.8994090391625897
ElasticNet,4.461002344139598,4.08256274310754,0.794829982654184,0.8170616476212906
Lasso,4.6135507717557545,4.237029187642955,0.7804997584579172,0.8029289788876841
